,İlan No:,İlan Tarihi:,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,car_link:,price,boya_degisen,aciklama
0, 16155960   , 03 Şubat 2021   , Porsche   , Taycan   , Turbo   , 2020   , Elektrik   , Otomatik   , -   , 680 hp   , 0 km   ,https://www.arabam.com//ilan/galeriden-satilik-porsche-taycan-turbo/zeno-motors-porsche-taycan-turbo-680bg-ozel-karmin-kirmizi/16155960,  2.180.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"FARKIMIZ FARKINIZ OLSUN...​BU SLOGANLA ÇIKTIĞIMIZ YOLDA SİZİ HERKESTEN AYRICALIKLI KILACAK ARAÇLARI UZUN ARAŞTIRMALAR NETİCESİNDE BELİRLİYOR VE SİZLER İÇİN İTHAL EDİYORUZ. SİZE ARACINIZLA BİRLİKTE KEYFİNİ SÜRMEK KALIYOR...*2020 PORSCHE TAYCAN TURBO 680 BG... ÖZEL METALİK KARMİN KIRMIZI* *ARACIMIZ 25/12/2020 TARİHİNDE TESLİME HAZIR OLACAKTIR*﻿OPSİYON LİSTESİF44 21""Mission E Tasarım Jantlar2W9 Elektrikli Bagaj Kapağı0L Özel Metalik Karmin Kırmızı1N3 Servo Direksiyon Plus2D1 Sport Dizayn Paket6XV Dış Aynalar-Elektrikli Alan Aydınlatması DahilQJ4 Dış Paket-Siyah ParlakGM3 Porsche Elektrikli Sport Sesi8LH Spor Chrono Paket-Mod Şalteri Dahil8JU LED Matrix Farlar Buz MavisiPorsche Dinamik Işık SistemiPDLS Plus)ile3FG Panoramik Cam Tavan Sabit4GP Gri Renkli Ön CamVW1 Koyu Renkli Camlar79J Şerit Değiştirme AsistanıKA6 Park Asistant Ön-Arka ve Surround GörünümP49 Adaptive Hız Sabitleyici4F2 Konforlu Erişim(Anahtarsız Giriş)KH5 Gelişmiş Klima Kontrolü 4 Bölge5KA 4+1 KoltukQQ1 Ortam Aydınlatması4D3 Ön Koltuk Soğutmaları2PJ MF GT-Sport Deri DireksiyonQE1 Eşya Paketi6A7 Yangın SöndürücüFI6 Emniyet Kemeri-BordoUP6 Pusula Sport Chrono Kronometre-Bordo9JD Sigara DonanımıJH1 Ön Yolcu Ekranı9M3 Isı Pompası76H Şarj Kablosu(Mod3)QW5 Porsche Akıllı Menzil YöneticisiSTANDART ÖZELLİKLER7K3 Lastik Basınç Kontrol SistemiQV3 Dijital Radyo1AC ABS Fren Sistemi674 Porsche Araç Takip Sistemi1LY Porsche Seramik Kompozit Fren (PCCB)KM2 150 kW'lık DC Şarj CihazıAR Pürüzsüz Deri Siyah0TD PaspasGH3 Porsche Torque Vectoring Plus (PTV Plus)9WT Apple® CarPlay Dahil Sesli Kontrol Siri®8IU LED Matrix Farlar-Porsche Dinamik Işık Sistemi Plus Dahil4UF Sürücü ve Ön Yolcu Airbagleri4A4 Ön-Arka Koltuk Isıtmaları3J7 Koltuk Başlıkları Ön-Porsche Armalı9VL BOSE Surround Sound Sistem7UG Porsche İletişim Yönetimi (PCM) Dahil Navigasyon ModülüQ1J 18-Kademeli Adaptif Spor Koltuklar-Elektrikli Hafızalı9W5 Telefon ve Müzik İçin Bluetooth® Arayüzlü Cep Telefonu HazırlığıPW1 Şeritten Ayrılma Uyarısı Ve Trafik İşareti TanımaG1X Ön Aksta 1 Vitesli ŞanzımanArka Aksta 2 Vitesli ŞanzımanVE1 Güneşlikler-Makyaj Aynalı4UH Yan Airbagler3B9 Isofix Çocuk Koltuğu Bağlantı Sistemi4UG Diz Airbagleri0QG Yanal Yazı ""Elektrik""NW2 Mobil Şarj Cihazı BağlantısıEH2 Kontrol Ünitesi İle Araç Arasındaki Kablo Bağlantısı:7,5 m"
1, 16446141   , 03 Şubat 2021   , Peugeot   , 206   , 1.4 HDi Comfort   , 2010   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 250.000 km   ,https://www.arabam.com//ilan/galeriden-satilik-peugeot-206-1-4-hdi-comfort/peugeot-206-1-4hdi-turbo-dizel-tertemiz-orjinal/16446141,  58.900 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,ARACİMİZİN MOTORU ÇOK GÜZELDİR YAG YAKMA ÜFLEME DUMAN ATMA SU EKSİLTME KESİNLİKLE YOKTUR TERTEMİZ BAKİMLİDİR EXPERDE %85 CİKMAKTADİR.KAPORTASI BOYASI TERTEMİZDİR AĞIR KAZA DARBE KESİNLİKLE YOKTUR.TAVAN BAGAJ BOYASİZDİR DİĞER TARAFLARI FARKLI ZAMANLARDA BOYANMIŞTIR.YAG FİLİTRE SIVI BAKIMLARI YENİ YAPİLMİSTİRTRİGER SETİ BASKI BALATA DEVİRDAİM YENİ DEGİSMİSTİR.PARÇA PARÇA UFAK TEFEK 10 BİN KADAR HASAR KAYDI VARDIR.ALİNDİGİ GÜNDEN BU GÜNE KASKOLU KULLANİLMİSTİR HERSEY PEUGEOT SERVİSİNDE YAPİLMİSTİR .ALİCİSİNA HAYIRLI OLSUN...
2, 16467761   , 04 Şubat 2021   , Hyundai   , i20   , 1.4 MPI Jump   , 2014   , Benzin   , Otomatik   , 1368 cc   , 100 hp   , 36.700 km   ,https://www.arabam.com//ilan/galeriden-satilik-hyundai-i20-1-4-mpi-jump/ey-autohaus-dan-dusuk-km-1-4-tam-otomatik-i-20/16467761,  132.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,EY AUTOHAUSAUTOPIA AVM KAT 2 C-73 ( BEYKENT METROBUS DURAGI )  YUSUF 0538 780 61 96      MURAT 0541 569 24 69https://www.arabam.com/galeri/ey-autohaus/​                                                                HYUNDAI I20 1.4 MPI JUMP TAM OTOMATIKMODEL 2014 &  KM 36.700MUAYENE GECERLILIK TARIHI 08.08.2022DONANIMLARFULL HYUNDAi YETKILI SERVIS BAKIMLI4 MEVSIM SIFIR LASTIK- 1.4 MPİ - 100 HP - TAM OTOMATİK VİTES- ANALOG KLİMA - ABS- ÇİFT HAVA YASTIĞI- 4 CAM OTOMATİK- USB - AUX GİRİŞİ- DREKSİYON KUMANDASI - BLUETHOHT KONUŞMAARACLARIMIZIN EXPER*KM SORGUSU*HASAR SORGUSU YAPILMISTIR.AYRICA SIZ DEGERLI MUSTERILERIMIZEKENDI BUNYEMIZDE ARACLARIMIZA KREDI IMKANI SUNUYORUZ.KASKO DEGERI : 125.000 TLKREDI MIKTARI : 88.000 TLNOT : KASKO DEGERI VE KREDI MIKTARI DEGISKENLIK GOSTEREBILIR YAKLASIK RAKAMLARDIR.Bu Araça Kredi Çıkmayan Müşterilerimiz İçin % 30 veya % 40 TL Peşinat İle36-48 AY 40 BIN PESINATLA OTO SOR Senetle Sahip Olabilirsiniz.EXPER DURUMUON IKI CAMURLUK UCUNDA LOKAL BOYA DEGISENARKA BAGAJ KAPAGI
3, 16458661   , 04 Şubat 2021   , Opel   , Astra   , 1.6 Comfort   , 2004   , LPG & Benzin   , Düz   , 1401 - 1600 cm3   , 76 - 100 HP   , 203.500 km   ,https://www.arabam.com//ilan/galeriden-satilik-opel-astra-1-6-comfort/ey-autohaus-dan-tramersiz-opel-astra/16458661,  76.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"EY AUTOHAUSAUTOPIA AVM KAT 2 C-73 ( BEYKENT METROBUS DURAGI )  YUSUF 0538 780 61 96      MURAT 0541 569 24 69https://www.arabam.com/galeri/ey-autohaus/​Astra 1.6 16V ComfortMODEL 2004 &  KM 203.000DONANIMLARHİDROLİK DİREKSİYONABSASRELEKTRİKLİ DİREKSİYONORJINAL FARLAR VE SİS FARLARIİSOFİX BLUETOOTH BAĞLANTIUSB BAĞLANTI ARKA CAM ISITMAHAVA YASTIĞIELEKRİKLİ ÖN VE ARKA CAMLAR YOL BİLGİSAYARI ÇOCUK KİLİDİİMMOBİLİZERÇELİK JANTPARK SENSÖRÜKOL DAYAMAARACLARIMIZIN EXPER*KM SORGUSU*HASAR SORGUSU YAPILMISTIR.AYRICA SIZ DEGERLI MUSTERILERIMIZEKENDI BUNYEMIZDE ARACLARIMIZA KREDI IMKANI SUNUYORUZ.KASKO DEGERI : .... TLKREDI MIKTARI : ....TLNOT : KASKO DEGERI VE KREDI MIKTARI DEGISKENLIK GOSTEREBILIR YAKLASIK RAKAMLARDIR.EXPER DURUMU DEGISENSOL ON CAMURLUK DEGISEN BOYA SAG ARKA CAMURLUK VE KAPI , KAPUT                                                             TRAMER DURUMUARACIMIZIN CIDDI BIR KAZASI YOKTUR.ARACIMIZIN TRAMER KAYDI BULUNMAMAKTADIR.."
4, 16642112   , 03 Şubat 2021   , Fiat   , Egea   , 1.6 Multijet Urban   , 2017   , Dizel   , Yarı Otomatik   , 1598 cc   , 120 hp   , 30.000 km   ,https://www.arabam.com//ilan/galeriden-satilik-fiat-egea-1-6-multijet-urban/ozpam-dan-2017-fiat-egea-1-6-m-jet-urban-dct-5-adet/16642112,  177.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"​​​​2017 Model Fiat Egea 1.6 M.jet Urban DCT Otomatik Modelidir. 20.000 - 40.000 Km Arasında 5 Aracımız Mevcuttur.​ÇİFT YÖNLÜ DİJİTAL KLİMADOKUNMATİK EKRANHIZ SABİTLEYİCİVİRAJA DUYARLI SİS FARLARI START-STOP ELEKTRKLİ YAN AYNALAR ECO MOD CITY ŞEHİR İÇİ MODU USB & AUX & BLUETOOTH YOKUŞ KALKIŞ DESTEĞİ FONKSİYONEL DERİ DREKSİYON AUTO FAR  ARKA PARK SÖNSÖRÜ LASTİK BASINÇ SENSÖRÜ YENİ NESİL GÜNDÜZ FARLARI YORGUNLUK TESPİT YÜKSEKLİK VE DERİNLİK AYARLI DREKSİYON 6 ADET  HAVA YASTIĞI ​Aracımız'da Boya, Değişen ya da Hasar Kaydı Yoktur.Firmamız; İkinci El Motorlu Kara Taşıtlarının Ticareti Hakkında Yönetmelik hükümlerine göre yetkilendirilmiştir.​Yetki Belgesi Numarası: 2000157 / 2000162Mağazamızdaki Diğer İlanlar İçin Tıklayınız.. ​"
5, 16551095   , 03 Şubat 2021   , Opel   , Insignia   , 1.6 CDTI Business   , 2015   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 88.000 km   ,https://www.arabam.com//ilan/galeriden-satilik-opel-insignia-1-6-cdti-business/yetkili-opel-bayisinden-0faiz-kampanyadizel-otomatik-insignia/16551095,  193.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Boyanmış  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Boyanmış  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,YETKİLİ OPEL BAYİSİ ERDEMİRDEN 1.6 DİZEL OTOMATİK İNSİGNİA BUSİNESSÖZEL FAİZ KAMPANYASI(40.000 TL 12 AY 0 FAİZ)(100.000 TL 12 AY 0.99 FAİZ)ARACIMIZDA DEĞİŞEN PARÇA BULUNMAMAKTADIRSAĞ ÖN KAPI VE SOL ARKA ÇAMURLUKTA BOYA BULUNMAMAKTADIRTRAMER KAYDI 3.300 TL DİRYedek anahtarı mevcuttur.Kredi desteğimiz mevcuttur.Daha detaylı bilgi için iletişime geçebilirsiniz...
6, 16533179   , 03 Şubat 2021   , Hyundai   , Accent Era   , 1.5 CRDi-VGT Style   , 2010   , Dizel   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 153.000 km   ,https://www.arabam.com//ilan/galeriden-satilik-hyundai-accent-era-1-5-crdi-vgt-style/yeni-vize-otomatik-dizel-sunrooflu-dijital-klimali-10-airbagli/16533179,  112.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Lokal Boyanmış  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,ARACIMIZ  2010 MODEL HYUDAİ ACCENT ERA 1.5 DİZEL MOTOR --- 110 BEYGİR  TAM OTOMATİK VİTESTİRORJİNAL 153.000 BİN  KİLOMETREDE MUAYENESİ YENİ  20/01/2023 TARİHİNE KADAR GEÇERLİDİR.YEDEK ANAHTARI VE KİTAPÇIKLARI VARDIRSERVİS FATURALARI MEVCUTTUR.İLK SIFIR FATURASI DAHİ DURMAKTADIRSTEPNE HİÇ KULLANILMAMIŞTIRKIŞLIK LASTİKLERİ ÜZERİNDE TAKILI OLUP YAZLIK LASTİKLERİDE YANINDA VERİLECEKTİR15/01/2021 TARİHİNDE SIFIR AKÜ TAKILMIŞTIR.(2 YIL GARANTİLİ)ARACIMIZDA SADECE 1 BOYA VARDIR.(SOL ÖN ÇAMURLUK)BUNA BAĞLI 400 LİRA HASAR KAYDI VARDIRDEĞİŞEN YOKTURTÜM DETAYLAR VE  RAPORLAR RESİMLERDE PAYLAŞILMIŞTIRARACIMIZIN  ULAŞIMI VE TESLİMATI KONUSUNDA YARDIMCI OLUNUR&&  NOT  &&  SÖYLENİLENLERİN AKSİ DURUMUNDA ŞEHİR DIŞINDAN GELECEK MİSAFİRLERİMİZİN YOL MASRAFLARI TARAFIMIZDAN KARŞILANIR.  HAYIRLI   OLMASINI   DİLERİZ...&&ÖZELLİKLER&& SUNROOF ORJİNAL ELEKTRİKLİDİJİTAL KLİMA 10 ADET AİRBAG 4 CAM OTOMATİK ALAŞIMLI  JANTLAR ELEKTİRKLİ AYNALAR  DERİ DİREKSİYON DERİ VİTES TOPUZU ...FONKSİYONEL DİREKSİYON YAĞMUR SENSÖRÜ SİS FARI ARKA PARK SENSÖRÜ ...
7, 16199664   , 03 Şubat 2021   , Hyundai   , Elantra   , 1.6 D-CVVT Style   , 2015   , Benzin   , Otomatik   , 1591 cc   , 127 hp   , 114.000 km   ,https://www.arabam.com//ilan/galeriden-satilik-hyundai-elantra-1-6-d-cvvt-style/yetkili-hyundai-bayisi-erdemirden-hatasiz-sorunsuz-elantra/16199664,  161.900 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,YETKİLİ HYUNDAİ BAYİSİ ERDEMİRDEN HATASIZ 1.6 BENZİN OTOMATİK STYLE DESİGN ELANTRAARACIMIZIN SAC AKSAMINDA HERHANGİ Bİ BOYA DEĞİŞEN BULUNMAMAKTADIRYALNIZCA TAMPONLARDA BOYA VARDIRBUNA BAĞLI OLARAK 1.450 TL TRAMER KAYDI BULUNMAKTADIRYedek anahtarı mevcutturTakas ve kredi desteğimiz mevcutturDaha detaylı bilgi için iletişime geçebilirsiniz...
8, 16511046   , 03 Şubat 2021   , Toyota   , Corolla   , 1.6 Vision   , 2020   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 126 - 150 HP   , 0 km   ,https://www.arabam.com//ilan/galeriden-satilik-toyota-corolla-1-6-vision/dragon-motors-2020-corolla-1-6-vision-multidrive-s-sifir-km/16511046,  208.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,DRAGON MOTORS2020 TOYOTA COROLLA 1.6 VISION MULTIDRIVE S“1.6 132 BG.”“SIFIR KM.”TRAMER:HASAR KAYDI YOKTUR EKSPERTİZ:HATASIZ*ÖZELLİKLER*ELEKTRONİK EL FRENİ AUTO HOLDÖN – ARKA LED FARLARDİJİTAL KLİMAHIZ SABİTLEMESOĞUTMALI TORPİDOLED ARKA STOP LAMBALARIELEKTRİKLİ – ISITMALI YAN AYNALARFONKSİYONEL DERİ DİREKSİYONARAÇ DENGE KONTROL SİSTEMİ (VSC)SPORT – ECO SÜRÜŞ MODLARIFREN DESTEK SİSTEMİÇEKİŞ KONTROL SİSTEMİACİL FREN UYARI SİSTEMİYAĞMUR SENSÖRÜBLUETOOTH – AUX – USB BAĞLANTIV.S….ADRES: OTOPORT AVM E-5 YOLU ÜZERİ HARAMİDERE KAVŞAĞI KAT:6 NO:190-191-192YETKİLİ: SELÇUK DABANLI0530 652 80 70
9, 16503200   , 03 Şubat 2021   , Fiat   , Egea   , 1.4 Fire Easy   , 2020   , Benzin   , Düz   , 1201 - 1400 cm3   , 76 - 100 HP   , 0 km   ,https://www.arabam.com//ilan/galeriden-satilik-fiat-egea-1-4-fire-easy/dragon-motors-2020-egea-1-4-fire-easy-sifir-km/16503200,  132.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,DRAGON MOTORS2020 FIAT EGEA 1.4 FIRE EASY“1.4 95 BG.”“SIFIR KM.”TRAMER:HASAR KAYDI YOKTUR EKSPERTİZ:HATASIZ*ÖZELLİKLER*KLİMAABS - ESPHAVA YASTIĞIELEKTRİKLİ CAMELETRİKLİ AYNALARYOL BİLGİSAYARI YOKUŞ KALKIŞ DESTEĞİKROM KAPI KOLLARITELEFON BLUETOOTH – USB – AUX BAĞLANTIFONKSİYONEL DİREKSİYONV.S….ADRES: OTOPORT AVM E-5 YOLU ÜZERİ HARAMİDERE KAVŞAĞI KAT:6 NO:190-191-192YETKİLİ: SELÇUK DABANLI0530 652 80 70
